Time, Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z, GSR, HR, user, collector, role, activity, Battery 
10:55:08-11,-0.114746094,-0.9628906,0.37060547,-0.09692383,-0.9362793,0.36694336,2235,68,100103, Participant, EMT,Transition,73
10:55:08-21,-0.12036133,-0.9519043,0.32617188,-0.114746094,-0.9628906,0.37060547,2235,68,100103, Participant, EMT,Transition,73
10:55:08-28,-0.12231445,-0.9355469,0.3100586,-0.12036133,-0.9519043,0.32617188,2235,68,100103, Participant, EMT,Transition,73
10:55:08-33,-0.109375,-0.8959961,0.27563477,-0.12231445,-0.9355469,0.3100586,2235,68,100103, Participant, EMT,Transition,73
10:55:08-42,-0.078125,-0.86499023,0.2614746,-0.109375,-0.8959961,0.27563477,2235,68,100103, Participant, EMT,Transition,73
10:55:08-48,-0.057128906,-0.8522949,0.26367188,-0.078125,-0.86499023,0.2614746,2235,68,100103, Participant, EMT,Transition,73
10:55:08-59,-0.013427734,-0.8508301,0.27124023,-0.057128906,-0.8522949,0.26367188,2235,68,100103, Participant, EMT,Transition,73
10:55:08-67,0.02709961,-0.8671875,0.27783203,-0.013427734,-0.8508301,0.27124023,2235,68,100103, Participant, EMT,Transition,73
10:55:08-73,0.036621094,-0.8708496,0.27490234,0.02709961,-0.8671875,0.27783203,2235,68,100103, Participant, EMT,Transition,73
10:55:08-79,0.026367188,-0.8725586,0.2644043,0.036621094,-0.8708496,0.27490234,2235,68,100103, Participant, EMT,Transition,73
10:55:08-83,0.012695313,-0.88134766,0.25927734,0.026367188,-0.8725586,0.2644043,2235,68,100103, Participant, EMT,Transition,73
10:55:08-88,0.012939453,-0.8930664,0.25317383,0.012695313,-0.88134766,0.25927734,2235,68,100103, Participant, EMT,Transition,73
10:55:08-141,0.007568359,-0.90844727,0.23583984,0.012939453,-0.8930664,0.25317383,2235,68,100103, Participant, EMT,Transition,73
10:55:08-188,-0.011474609,-0.9121094,0.21972656,0.007568359,-0.90844727,0.23583984,2235,68,100103, Participant, EMT,Transition,73
10:55:08-202,-0.014160156,-0.9123535,0.21362305,0.007568359,-0.90844727,0.23583984,2235,68,100103, Participant, EMT,Transition,73
10:55:08-208,-0.004882813,-0.9272461,0.20629883,-0.014160156,-0.9123535,0.21362305,2235,68,100103, Participant, EMT,Transition,73
10:55:08-214,-0.0078125,-0.9526367,0.19824219,-0.004882813,-0.9272461,0.20629883,2235,68,100103, Participant, EMT,Transition,73
10:55:08-218,-0.011962891,-0.9650879,0.19873047,-0.004882813,-0.9272461,0.20629883,2235,68,100103, Participant, EMT,Transition,73
10:55:08-229,-0.013671875,-0.98583984,0.18920898,-0.011962891,-0.9650879,0.19873047,2235,68,100103, Participant, EMT,Transition,73
10:55:08-233,-0.020996094,-1.0004883,0.18359375,-0.013671875,-0.98583984,0.18920898,2235,68,100103, Participant, EMT,Transition,73
