Time, Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z, GSR, HR, user, collector, role, activity, Battery 
11:17:15-4,0.13256836,-1.0476074,0.18408203,0.13330078,-1.0087891,0.1706543,5532,75,100109, Participant, EMT,Transition,60
11:17:15-8,0.119140625,-1.0791016,0.1694336,0.13256836,-1.0476074,0.18408203,5532,75,100109, Participant, EMT,Transition,60
11:17:15-60,0.06933594,-1.1335449,0.21044922,0.119140625,-1.0791016,0.1694336,5532,75,100109, Participant, EMT,Transition,60
11:17:15-68,0.064697266,-1.1958008,0.26635742,0.06933594,-1.1335449,0.21044922,5532,75,100109, Participant, EMT,Transition,60
11:17:15-81,0.06274414,-1.2045898,0.24975586,0.064697266,-1.1958008,0.26635742,5532,75,100109, Participant, EMT,Transition,60
11:17:15-84,0.047607422,-1.2392578,0.23632813,0.06274414,-1.2045898,0.24975586,5532,75,100109, Participant, EMT,Transition,60
11:17:15-116,0.034179688,-1.251709,0.2644043,0.047607422,-1.2392578,0.23632813,5532,75,100109, Participant, EMT,Transition,60
11:17:15-119,0.020263672,-1.2485352,0.30908203,0.034179688,-1.251709,0.2644043,5532,75,100109, Participant, EMT,Transition,60
11:17:15-124,0.030517578,-1.2373047,0.3173828,0.020263672,-1.2485352,0.30908203,5532,75,100109, Participant, EMT,Transition,60
11:17:15-129,-0.061279297,-1.2382813,0.29785156,0.030517578,-1.2373047,0.3173828,5532,75,100109, Participant, EMT,Transition,60
11:17:15-175,-0.09887695,-1.192627,0.25732422,-0.061279297,-1.2382813,0.29785156,5532,75,100109, Participant, EMT,Transition,60
11:17:15-180,-0.1418457,-0.97314453,0.19238281,-0.09887695,-1.192627,0.25732422,5532,75,100109, Participant, EMT,Transition,60
11:17:15-238,-0.123046875,-0.7841797,0.15209961,-0.1418457,-0.97314453,0.19238281,5532,75,100109, Participant, EMT,Transition,60
