Time, Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z, GSR, HR, user, collector, role, activity, Battery 
11:05:01-11,-0.042236328,0.8352051,0.31884766,-0.04736328,0.8144531,0.30322266,17962,69,100106, Participant, EMT,Transition,72
11:05:01-13,-0.03881836,0.8552246,0.30126953,-0.04736328,0.8144531,0.30322266,17962,69,100106, Participant, EMT,Transition,72
11:05:01-42,-0.026611328,0.9057617,0.25146484,-0.03881836,0.8552246,0.30126953,17962,69,100106, Participant, EMT,Transition,72
11:05:01-46,-0.035888672,0.9453125,0.22216797,-0.026611328,0.9057617,0.25146484,17962,69,100106, Participant, EMT,Transition,72
11:05:01-48,-0.0390625,0.9658203,0.22216797,-0.026611328,0.9057617,0.25146484,17962,69,100106, Participant, EMT,Transition,72
11:05:01-76,-0.033447266,0.97631836,0.23217773,-0.0390625,0.9658203,0.22216797,17962,69,100106, Participant, EMT,Transition,72
11:05:01-108,-0.037109375,0.9519043,0.25439453,-0.033447266,0.97631836,0.23217773,17962,69,100106, Participant, EMT,Transition,72
11:05:01-111,-0.032470703,0.9428711,0.2722168,-0.033447266,0.97631836,0.23217773,17962,69,100106, Participant, EMT,Transition,72
11:05:01-113,-0.02368164,0.94873047,0.28564453,-0.032470703,0.9428711,0.2722168,17962,69,100106, Participant, EMT,Transition,72
11:05:01-150,-0.020263672,1.0058594,0.28442383,-0.02368164,0.94873047,0.28564453,17962,69,100106, Participant, EMT,Transition,72
11:05:01-153,-0.011230469,1.0397949,0.27197266,-0.02368164,0.94873047,0.28564453,17962,69,100106, Participant, EMT,Transition,72
11:05:01-182,0.006591797,1.0563965,0.27172852,-0.011230469,1.0397949,0.27197266,17962,69,100106, Participant, EMT,Transition,72
11:05:01-216,-0.018066406,1.0488281,0.2854004,0.006591797,1.0563965,0.27172852,17962,69,100106, Participant, EMT,Transition,72
11:05:01-219,-0.017089844,1.0537109,0.2939453,0.006591797,1.0563965,0.27172852,17962,69,100106, Participant, EMT,Transition,72
11:05:01-221,-0.006103516,1.045166,0.29345703,-0.017089844,1.0537109,0.2939453,17962,69,100106, Participant, EMT,Transition,72
11:05:01-250,-0.02709961,1.0471191,0.29077148,-0.006103516,1.045166,0.29345703,17962,69,100106, Participant, EMT,Transition,72
11:05:01-252,-0.030761719,1.0583496,0.28222656,-0.006103516,1.045166,0.29345703,17962,69,100106, Participant, EMT,Transition,72
11:05:01-262,-0.030517578,1.1115723,0.2854004,-0.030761719,1.0583496,0.28222656,17962,69,100106, Participant, EMT,Transition,72
11:05:01-316,-0.014160156,1.1450195,0.3166504,-0.030517578,1.1115723,0.2854004,17962,69,100106, Participant, EMT,Transition,72
11:05:01-318,0.001953125,1.1472168,0.34228516,-0.030517578,1.1115723,0.2854004,17962,69,100106, Participant, EMT,Transition,72
11:05:01-321,0.037353516,1.1196289,0.38330078,0.001953125,1.1472168,0.34228516,17962,69,100106, Participant, EMT,Transition,72
11:05:01-351,0.07055664,1.0056152,0.32958984,0.037353516,1.1196289,0.38330078,17962,69,100106, Participant, EMT,Transition,72
11:05:01-353,0.056396484,0.96362305,0.28198242,0.07055664,1.0056152,0.32958984,17962,69,100106, Participant, EMT,Transition,72
11:05:01-358,-0.015380859,0.9194336,0.22167969,0.056396484,0.96362305,0.28198242,17962,69,100106, Participant, EMT,Transition,72
11:05:01-392,-0.067871094,0.86987305,0.2133789,-0.015380859,0.9194336,0.22167969,17962,69,100106, Participant, EMT,Transition,72
