Time, Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z, GSR, HR, user, collector, role, activity, Battery 
10:38:29-9,-0.38378906,1.0554199,-0.13354492,-0.28637695,1.0227051,-0.099365234,17533,73,100106, Participant, EMT,Transition,84
10:38:29-16,-0.4675293,1.151123,-0.08520508,-0.38378906,1.0554199,-0.13354492,17533,73,100106, Participant, EMT,Transition,84
10:38:29-21,-0.47827148,1.1589355,-0.023925781,-0.38378906,1.0554199,-0.13354492,17533,73,100106, Participant, EMT,Transition,84
10:38:29-43,-0.45166016,1.0803223,0.10986328,-0.47827148,1.1589355,-0.023925781,17533,73,100106, Participant, EMT,Transition,84
10:38:29-75,-0.42626953,0.9729004,0.18896484,-0.45166016,1.0803223,0.10986328,17533,73,100106, Participant, EMT,Transition,84
10:38:29-80,-0.41552734,0.9421387,0.22583008,-0.45166016,1.0803223,0.10986328,17533,73,100106, Participant, EMT,Transition,84
10:38:29-106,-0.35107422,0.96069336,0.2927246,-0.41552734,0.9421387,0.22583008,17533,73,100106, Participant, EMT,Transition,84
10:38:29-110,-0.2553711,0.97094727,0.34375,-0.35107422,0.96069336,0.2927246,17533,73,100106, Participant, EMT,Transition,84
10:38:29-114,-0.2241211,0.95751953,0.3395996,-0.35107422,0.96069336,0.2927246,17533,73,100106, Participant, EMT,Transition,84
10:38:29-142,-0.20751953,0.88134766,0.32299805,-0.2241211,0.95751953,0.3395996,17533,73,100106, Participant, EMT,Transition,84
10:38:29-174,-0.23095703,0.7451172,0.36132813,-0.20751953,0.88134766,0.32299805,17533,73,100106, Participant, EMT,Transition,84
10:38:29-178,-0.24707031,0.7019043,0.3671875,-0.20751953,0.88134766,0.32299805,17533,73,100106, Participant, EMT,Transition,84
10:38:29-207,-0.27392578,0.70214844,0.34521484,-0.24707031,0.7019043,0.3671875,17533,73,100106, Participant, EMT,Transition,84
10:38:29-219,-0.27734375,0.7541504,0.2619629,-0.27392578,0.70214844,0.34521484,17533,73,100106, Participant, EMT,Transition,84
10:38:29-228,-0.27563477,0.7873535,0.23803711,-0.27392578,0.70214844,0.34521484,17533,73,100106, Participant, EMT,Transition,84
10:38:29-241,-0.28686523,0.81347656,0.22216797,-0.27563477,0.7873535,0.23803711,17533,73,100106, Participant, EMT,Transition,84
10:38:29-272,-0.31298828,0.79833984,0.22192383,-0.28686523,0.81347656,0.22216797,17533,73,100106, Participant, EMT,Transition,84
10:38:29-277,-0.3310547,0.7861328,0.20410156,-0.28686523,0.81347656,0.22216797,17533,73,100106, Participant, EMT,Transition,84
10:38:29-284,-0.35131836,0.76342773,0.1550293,-0.3310547,0.7861328,0.20410156,17533,73,100106, Participant, EMT,Transition,84
10:38:29-309,-0.35839844,0.80981445,0.12011719,-0.35131836,0.76342773,0.1550293,17533,73,100106, Participant, EMT,Transition,84
10:38:29-315,-0.36157227,0.8520508,0.12475586,-0.35131836,0.76342773,0.1550293,17533,73,100106, Participant, EMT,Transition,84
10:38:29-340,-0.36132813,0.9367676,0.15283203,-0.36157227,0.8520508,0.12475586,17533,73,100106, Participant, EMT,Transition,84
10:38:29-372,-0.36791992,0.96484375,0.17480469,-0.36132813,0.9367676,0.15283203,17533,73,100106, Participant, EMT,Transition,84
10:38:29-382,-0.37573242,0.9482422,0.17163086,-0.36132813,0.9367676,0.15283203,17533,73,100106, Participant, EMT,Transition,84
10:38:29-390,-0.3881836,0.9050293,0.15771484,-0.37573242,0.9482422,0.17163086,17533,73,100106, Participant, EMT,Transition,84
10:38:29-408,-0.37817383,0.9016113,0.15429688,-0.3881836,0.9050293,0.15771484,17533,72,100106, Participant, EMT,Transition,84
10:38:29-417,-0.36791992,0.9135742,0.17260742,-0.3881836,0.9050293,0.15771484,17533,72,100106, Participant, EMT,Transition,84
10:38:29-484,-0.34838867,0.92529297,0.18334961,-0.36791992,0.9135742,0.17260742,17533,72,100106, Participant, EMT,Transition,84
10:38:29-492,-0.34887695,0.9316406,0.18188477,-0.34838867,0.92529297,0.18334961,17533,72,100106, Participant, EMT,Transition,84
10:38:29-503,-0.3557129,0.9321289,0.17651367,-0.34838867,0.92529297,0.18334961,17533,72,100106, Participant, EMT,Transition,84
10:38:29-551,-0.36572266,0.9326172,0.19018555,-0.3557129,0.9321289,0.17651367,17533,72,100106, Participant, EMT,Transition,84
10:38:29-561,-0.35913086,0.93359375,0.20019531,-0.36572266,0.9326172,0.19018555,17533,72,100106, Participant, EMT,Transition,84
10:38:29-590,-0.35595703,0.94262695,0.19555664,-0.35913086,0.93359375,0.20019531,17533,72,100106, Participant, EMT,Transition,84
10:38:29-603,-0.36254883,0.96533203,0.18041992,-0.35595703,0.94262695,0.19555664,17533,72,100106, Participant, EMT,Transition,84
10:38:29-610,-0.37304688,0.9650879,0.171875,-0.36254883,0.96533203,0.18041992,17533,72,100106, Participant, EMT,Transition,84
10:38:29-619,-0.37548828,0.9626465,0.17138672,-0.37304688,0.9650879,0.171875,17533,72,100106, Participant, EMT,Transition,84
10:38:29-627,-0.37353516,0.95581055,0.18139648,-0.37548828,0.9626465,0.17138672,17533,72,100106, Participant, EMT,Transition,84
10:38:29-635,-0.37426758,0.9411621,0.18432617,-0.37353516,0.95581055,0.18139648,17533,72,100106, Participant, EMT,Transition,84
10:38:29-643,-0.3815918,0.9375,0.17895508,-0.37426758,0.9411621,0.18432617,17533,72,100106, Participant, EMT,Transition,84
10:38:29-647,-0.38330078,0.9301758,0.17675781,-0.3815918,0.9375,0.17895508,17533,72,100106, Participant, EMT,Transition,84
10:38:29-652,-0.37524414,0.9316406,0.18334961,-0.38330078,0.9301758,0.17675781,17533,72,100106, Participant, EMT,Transition,84
10:38:29-656,-0.36938477,0.92993164,0.18652344,-0.37524414,0.9316406,0.18334961,17533,72,100106, Participant, EMT,Transition,84
10:38:29-687,-0.36621094,0.91430664,0.18383789,-0.36938477,0.92993164,0.18652344,17533,72,100106, Participant, EMT,Transition,84
10:38:29-691,-0.3671875,0.91748047,0.18408203,-0.36621094,0.91430664,0.18383789,17533,72,100106, Participant, EMT,Transition,84
10:38:29-722,-0.36914063,0.9243164,0.19482422,-0.3671875,0.91748047,0.18408203,17533,72,100106, Participant, EMT,Transition,84
10:38:29-728,-0.36376953,0.92089844,0.20141602,-0.36914063,0.9243164,0.19482422,17533,72,100106, Participant, EMT,Transition,84
10:38:29-757,-0.3659668,0.9123535,0.19677734,-0.36376953,0.92089844,0.20141602,17533,72,100106, Participant, EMT,Transition,84
10:38:29-765,-0.36132813,0.91967773,0.20043945,-0.3659668,0.9123535,0.19677734,17533,72,100106, Participant, EMT,Transition,84
10:38:29-792,-0.35302734,0.9177246,0.19555664,-0.36132813,0.91967773,0.20043945,17533,72,100106, Participant, EMT,Transition,84
10:38:29-801,-0.34399414,0.89990234,0.18017578,-0.35302734,0.9177246,0.19555664,17533,72,100106, Participant, EMT,Transition,84
10:38:29-825,-0.34448242,0.89208984,0.17651367,-0.34399414,0.89990234,0.18017578,17533,72,100106, Participant, EMT,Transition,84
10:38:29-835,-0.34350586,0.89331055,0.18457031,-0.34448242,0.89208984,0.17651367,17533,72,100106, Participant, EMT,Transition,84
10:38:29-859,-0.32885742,0.9121094,0.18383789,-0.34350586,0.89331055,0.18457031,17533,72,100106, Participant, EMT,Transition,84
10:38:29-866,-0.32080078,0.9230957,0.16796875,-0.32885742,0.9121094,0.18383789,17533,72,100106, Participant, EMT,Transition,84
10:38:29-874,-0.2998047,0.9248047,0.15063477,-0.32080078,0.9230957,0.16796875,17533,72,100106, Participant, EMT,Transition,84
10:38:29-897,-0.29638672,0.92578125,0.15795898,-0.2998047,0.9248047,0.15063477,17533,72,100106, Participant, EMT,Transition,84
10:38:29-903,-0.29516602,0.9255371,0.16455078,-0.29638672,0.92578125,0.15795898,17533,72,100106, Participant, EMT,Transition,84
10:38:29-934,-0.28344727,0.91918945,0.19360352,-0.29516602,0.9255371,0.16455078,17533,72,100106, Participant, EMT,Transition,84
10:38:29-941,-0.27368164,0.9230957,0.20629883,-0.28344727,0.91918945,0.19360352,17533,72,100106, Participant, EMT,Transition,84
10:38:29-969,-0.27148438,0.92871094,0.19677734,-0.27368164,0.9230957,0.20629883,17533,72,100106, Participant, EMT,Transition,84
10:38:29-978,-0.24145508,0.8696289,0.08227539,-0.27148438,0.92871094,0.19677734,17533,72,100106, Participant, EMT,Transition,84
10:38:30-2,-0.21533203,0.90844727,0.0625,-0.24145508,0.8696289,0.08227539,17533,72,100106, Participant, EMT,Transition,84
10:38:30-7,-0.2277832,0.9133301,0.0871582,-0.21533203,0.90844727,0.0625,17533,72,100106, Participant, EMT,Transition,84
10:38:30-16,-0.2722168,0.89160156,0.15673828,-0.2277832,0.9133301,0.0871582,17533,72,100106, Participant, EMT,Transition,84
10:38:30-49,-0.3095703,0.88842773,0.20483398,-0.2722168,0.89160156,0.15673828,17533,72,100106, Participant, EMT,Transition,84
10:38:30-53,-0.30688477,0.90283203,0.20800781,-0.3095703,0.88842773,0.20483398,17533,72,100106, Participant, EMT,Transition,84
