Time, Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z, GSR, HR, user, collector, role, activity, Battery 
11:15:38-12,0.14404297,0.8527832,-0.23950195,0.14501953,0.84106445,-0.2253418,14340,73,100107, Participant, EMT, None,67
11:15:38-14,0.14135742,0.873291,-0.24072266,0.14404297,0.8527832,-0.23950195,14340,73,100107, Participant, EMT, None,67
11:15:38-46,0.13085938,0.9182129,-0.23339844,0.14135742,0.873291,-0.24072266,14340,73,100107, Participant, EMT, None,67
11:15:38-48,0.12792969,0.9367676,-0.24365234,0.13085938,0.9182129,-0.23339844,14340,73,100107, Participant, EMT, None,67
11:15:38-81,0.11791992,0.9421387,-0.25097656,0.12792969,0.9367676,-0.24365234,14340,73,100107, Participant, EMT, None,67
11:15:38-85,0.10864258,0.9802246,-0.27392578,0.11791992,0.9421387,-0.25097656,14340,73,100107, Participant, EMT, None,67
11:15:38-88,0.103515625,0.9765625,-0.3088379,0.10864258,0.9802246,-0.27392578,14340,73,100107, Participant, EMT, None,67
11:15:38-114,0.095703125,0.97924805,-0.32006836,0.103515625,0.9765625,-0.3088379,14340,73,100107, Participant, EMT, None,67
11:15:38-147,0.07397461,0.9741211,-0.31591797,0.095703125,0.97924805,-0.32006836,14340,73,100107, Participant, EMT, None,67
11:15:38-150,0.050048828,0.9316406,-0.32470703,0.07397461,0.9741211,-0.31591797,14340,73,100107, Participant, EMT, None,67
11:15:38-164,0.04296875,0.9313965,-0.33007813,0.050048828,0.9316406,-0.32470703,14340,73,100107, Participant, EMT, None,67
11:15:38-197,0.019042969,0.91967773,-0.32592773,0.04296875,0.9313965,-0.33007813,14340,73,100107, Participant, EMT, None,67
11:15:38-199,0.008789063,0.90527344,-0.3161621,0.019042969,0.91967773,-0.32592773,14340,73,100107, Participant, EMT, None,67
11:15:38-231,0.003173828,0.8935547,-0.31933594,0.008789063,0.90527344,-0.3161621,14340,73,100107, Participant, EMT, None,67
11:15:38-234,0.002685547,0.87890625,-0.32348633,0.003173828,0.8935547,-0.31933594,14340,73,100107, Participant, EMT, None,67
11:15:38-274,4.88E-04,0.876709,-0.3071289,0.002685547,0.87890625,-0.32348633,14340,73,100107, Participant, EMT, None,67
11:15:38-278,-0.001953125,0.8811035,-0.2932129,4.88E-04,0.876709,-0.3071289,14340,73,100107, Participant, EMT, None,67
11:15:38-283,0.008056641,0.88012695,-0.29492188,-0.001953125,0.8811035,-0.2932129,14340,73,100107, Participant, EMT, None,67
11:15:38-312,0.028076172,0.8947754,-0.30541992,0.008056641,0.88012695,-0.29492188,14340,73,100107, Participant, EMT, None,67
11:15:38-315,0.030273438,0.90771484,-0.3010254,0.008056641,0.88012695,-0.29492188,14340,73,100107, Participant, EMT, None,67
11:15:38-347,0.034423828,0.90844727,-0.28833008,0.030273438,0.90771484,-0.3010254,14340,73,100107, Participant, EMT, None,67
11:15:38-351,0.044921875,0.8959961,-0.3034668,0.034423828,0.90844727,-0.28833008,14340,73,100107, Participant, EMT, None,67
11:15:38-353,0.05419922,0.90063477,-0.31982422,0.034423828,0.90844727,-0.28833008,14340,73,100107, Participant, EMT, None,67
11:15:38-380,0.04711914,0.89868164,-0.32592773,0.05419922,0.90063477,-0.31982422,14340,73,100107, Participant, EMT, None,67
11:15:38-417,0.042236328,0.8977051,-0.32250977,0.04711914,0.89868164,-0.32592773,14340,73,100107, Participant, EMT, None,67
11:15:38-420,0.0390625,0.9013672,-0.32543945,0.04711914,0.89868164,-0.32592773,14340,73,100107, Participant, EMT, None,67
11:15:38-446,0.02319336,0.9069824,-0.31958008,0.0390625,0.9013672,-0.32543945,14340,73,100107, Participant, EMT, None,67
11:15:38-450,0.01977539,0.92211914,-0.31762695,0.02319336,0.9069824,-0.31958008,14340,73,100107, Participant, EMT, None,67
11:15:38-453,0.011230469,0.91918945,-0.31176758,0.02319336,0.9069824,-0.31958008,14340,73,100107, Participant, EMT, None,67
11:15:38-481,0.014648438,0.9470215,-0.3239746,0.011230469,0.91918945,-0.31176758,14340,73,100107, Participant, EMT, None,67
11:15:38-490,0.019042969,0.9807129,-0.30541992,0.014648438,0.9470215,-0.3239746,14340,73,100107, Participant, EMT, None,67
11:15:38-493,0.013427734,1.0058594,-0.29077148,0.014648438,0.9470215,-0.3239746,14340,73,100107, Participant, EMT, None,67
11:15:38-513,-0.016601563,1.0568848,-0.26489258,0.013427734,1.0058594,-0.29077148,14340,73,100107, Participant, EMT, None,67
11:15:38-546,-0.037597656,1.1638184,-0.2619629,-0.016601563,1.0568848,-0.26489258,14340,73,100107, Participant, EMT, None,67
11:15:38-548,-0.004638672,1.2858887,-0.25976563,-0.016601563,1.0568848,-0.26489258,14340,73,100107, Participant, EMT, None,67
11:15:38-561,0.092285156,1.4836426,-0.22973633,-0.004638672,1.2858887,-0.25976563,14340,73,100107, Participant, EMT, None,67
11:15:38-594,0.12084961,1.3603516,-0.2163086,0.092285156,1.4836426,-0.22973633,14340,73,100107, Participant, EMT, None,67
11:15:38-596,0.122558594,1.2695313,-0.22729492,0.092285156,1.4836426,-0.22973633,14340,73,100107, Participant, EMT, None,67
11:15:38-627,0.13378906,1.1113281,-0.25048828,0.122558594,1.2695313,-0.22729492,14340,73,100107, Participant, EMT, None,67
11:15:38-660,0.11303711,0.91967773,-0.25952148,0.13378906,1.1113281,-0.25048828,14340,73,100107, Participant, EMT, None,67
11:15:38-663,0.080566406,0.81640625,-0.26123047,0.13378906,1.1113281,-0.25048828,14340,73,100107, Participant, EMT, None,67
11:15:38-666,-0.003662109,0.6616211,-0.24902344,0.080566406,0.81640625,-0.26123047,14340,73,100107, Participant, EMT, None,67
11:15:38-698,-0.06201172,0.6608887,-0.21044922,-0.003662109,0.6616211,-0.24902344,14340,73,100107, Participant, EMT, None,67
11:15:38-700,-0.08520508,0.6706543,-0.19165039,-0.003662109,0.6616211,-0.24902344,14340,73,100107, Participant, EMT, None,67
11:15:38-706,-0.09887695,0.71533203,-0.16479492,-0.08520508,0.6706543,-0.19165039,14340,73,100107, Participant, EMT, None,67
11:15:38-738,-0.07739258,0.7570801,-0.17602539,-0.09887695,0.71533203,-0.16479492,14340,73,100107, Participant, EMT, None,67
11:15:38-741,-0.072265625,0.7939453,-0.18554688,-0.09887695,0.71533203,-0.16479492,14340,73,100107, Participant, EMT, None,67
11:15:38-765,-0.053710938,0.88500977,-0.18774414,-0.072265625,0.7939453,-0.18554688,14340,73,100107, Participant, EMT, None,67
11:15:38-771,-0.030029297,1.0825195,-0.19238281,-0.053710938,0.88500977,-0.18774414,14340,73,100107, Participant, EMT, None,67
11:15:38-797,-0.01977539,1.1962891,-0.19311523,-0.030029297,1.0825195,-0.19238281,14340,73,100107, Participant, EMT, None,67
11:15:38-829,0.009033203,1.2919922,-0.21582031,-0.01977539,1.1962891,-0.19311523,14340,73,100107, Participant, EMT, None,67
11:15:38-832,0.020019531,1.2924805,-0.24804688,0.009033203,1.2919922,-0.21582031,14340,73,100107, Participant, EMT, None,67
11:15:38-837,0.026367188,1.2807617,-0.2763672,0.020019531,1.2924805,-0.24804688,14340,73,100107, Participant, EMT, None,67
11:15:38-862,0.01953125,1.2124023,-0.3059082,0.026367188,1.2807617,-0.2763672,14340,73,100107, Participant, EMT, None,67
11:15:38-871,0.003173828,1.0678711,-0.30249023,0.01953125,1.2124023,-0.3059082,14340,73,100107, Participant, EMT, None,67
11:15:38-903,-0.012451172,0.98950195,-0.29614258,0.003173828,1.0678711,-0.30249023,14340,73,100107, Participant, EMT, None,67
11:15:38-905,-0.049316406,0.8845215,-0.3010254,-0.012451172,0.98950195,-0.29614258,14340,73,100107, Participant, EMT, None,67
11:15:38-938,-0.08569336,0.83691406,-0.30737305,-0.049316406,0.8845215,-0.3010254,14340,73,100107, Participant, EMT, None,67
11:15:38-940,-0.10205078,0.8286133,-0.31079102,-0.08569336,0.83691406,-0.30737305,14340,73,100107, Participant, EMT, None,67
11:15:38-972,-0.13183594,0.82836914,-0.3269043,-0.10205078,0.8286133,-0.31079102,14340,73,100107, Participant, EMT, None,67
11:15:38-976,-0.13427734,0.84472656,-0.3371582,-0.13183594,0.82836914,-0.3269043,14340,73,100107, Participant, EMT, None,67
