Time, Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z, GSR, HR, user, collector, role, activity, Battery 
10:55:08-18,-0.095214844,1.262207,0.39038086,-0.10864258,1.2883301,0.38085938,12562,73,100104, Participant, EMT,Transition,5
10:55:08-25,-0.064208984,1.2363281,0.39624023,-0.095214844,1.262207,0.39038086,12562,73,100104, Participant, EMT,Transition,5
10:55:08-31,-0.033935547,1.2189941,0.38989258,-0.095214844,1.262207,0.39038086,12562,73,100104, Participant, EMT,Transition,5
10:55:08-55,0.04272461,1.0849609,0.33032227,-0.033935547,1.2189941,0.38989258,12562,73,100104, Participant, EMT,Transition,5
10:55:08-85,0.057861328,0.88134766,0.23535156,0.04272461,1.0849609,0.33032227,12562,73,100104, Participant, EMT,Transition,5
10:55:08-90,0.034179688,0.7907715,0.18847656,0.04272461,1.0849609,0.33032227,12562,73,100104, Participant, EMT,Transition,5
10:55:08-100,-0.04272461,0.69262695,0.13623047,0.034179688,0.7907715,0.18847656,12562,73,100104, Participant, EMT,Transition,5
10:55:08-133,-0.1027832,0.6828613,0.13427734,-0.04272461,0.69262695,0.13623047,12562,73,100104, Participant, EMT,Transition,5
10:55:08-139,-0.12451172,0.7001953,0.14794922,-0.04272461,0.69262695,0.13623047,12562,73,100104, Participant, EMT,Transition,5
10:55:08-150,-0.15063477,0.763916,0.1796875,-0.12451172,0.7001953,0.14794922,12562,73,100104, Participant, EMT,Transition,5
10:55:08-159,-0.18261719,0.8083496,0.19726563,-0.15063477,0.763916,0.1796875,12562,73,100104, Participant, EMT,Transition,5
10:55:08-177,-0.20483398,0.83813477,0.19799805,-0.18261719,0.8083496,0.19726563,12562,73,100104, Participant, EMT,Transition,5
10:55:08-187,-0.19165039,0.8483887,0.22485352,-0.20483398,0.83813477,0.19799805,12562,73,100104, Participant, EMT,Transition,5
10:55:08-209,-0.12890625,0.89941406,0.30151367,-0.19165039,0.8483887,0.22485352,12562,73,100104, Participant, EMT,Transition,5
10:55:08-221,-0.091796875,0.9436035,0.34423828,-0.12890625,0.89941406,0.30151367,12562,73,100104, Participant, EMT,Transition,5
10:55:08-259,0.00390625,0.9338379,0.35595703,-0.091796875,0.9436035,0.34423828,12562,73,100104, Participant, EMT,Transition,5
10:55:08-267,0.003173828,0.9001465,0.29125977,0.00390625,0.9338379,0.35595703,12562,73,100104, Participant, EMT,Transition,5
10:55:08-275,-0.03125,0.89697266,0.2512207,0.003173828,0.9001465,0.29125977,12562,73,100104, Participant, EMT,Transition,5
10:55:08-283,-0.09448242,0.95458984,0.18481445,-0.03125,0.89697266,0.2512207,12562,73,100104, Participant, EMT,Transition,5
10:55:08-301,-0.1328125,1.0041504,0.11767578,-0.09448242,0.95458984,0.18481445,12562,73,100104, Participant, EMT,Transition,5
10:55:08-321,-0.16308594,1.0095215,0.09887695,-0.1328125,1.0041504,0.11767578,12562,74,100104, Participant, EMT,Transition,5
10:55:08-345,-0.2006836,0.9526367,0.09375,-0.16308594,1.0095215,0.09887695,12562,74,100104, Participant, EMT,Transition,5
10:55:08-353,-0.21826172,0.9033203,0.095703125,-0.2006836,0.9526367,0.09375,12562,74,100104, Participant, EMT,Transition,5
10:55:08-381,-0.22729492,0.8857422,0.09350586,-0.21826172,0.9033203,0.095703125,12562,74,100104, Participant, EMT,Transition,5
10:55:08-388,-0.2397461,0.87158203,0.07885742,-0.22729492,0.8857422,0.09350586,12562,74,100104, Participant, EMT,Transition,5
10:55:08-396,-0.25268555,0.8730469,0.064208984,-0.2397461,0.87158203,0.07885742,12562,74,100104, Participant, EMT,Transition,5
10:55:08-435,-0.26123047,0.8845215,0.067871094,-0.25268555,0.8730469,0.064208984,12562,74,100104, Participant, EMT,Transition,5
10:55:08-443,-0.27612305,0.90722656,0.068603516,-0.26123047,0.8845215,0.067871094,12562,74,100104, Participant, EMT,Transition,5
10:55:08-463,-0.2697754,0.94750977,0.0871582,-0.27612305,0.90722656,0.068603516,12562,74,100104, Participant, EMT,Transition,5
10:55:08-469,-0.25561523,0.970459,0.10424805,-0.27612305,0.90722656,0.068603516,12562,74,100104, Participant, EMT,Transition,5
10:55:08-503,-0.22705078,1.0603027,0.14013672,-0.25561523,0.970459,0.10424805,12562,74,100104, Participant, EMT,Transition,5
10:55:08-512,-0.19897461,1.1630859,0.16430664,-0.22705078,1.0603027,0.14013672,12562,74,100104, Participant, EMT,Transition,5
10:55:08-519,-0.20385742,1.234375,0.17675781,-0.22705078,1.0603027,0.14013672,12562,74,100104, Participant, EMT,Transition,5
10:55:08-544,-0.24389648,1.4655762,0.20483398,-0.20385742,1.234375,0.17675781,12562,74,100104, Participant, EMT,Transition,5
10:55:08-552,-0.16748047,1.5004883,0.26513672,-0.24389648,1.4655762,0.20483398,12562,74,100104, Participant, EMT,Transition,5
10:55:08-558,-0.11328125,1.4362793,0.2854004,-0.24389648,1.4655762,0.20483398,12562,74,100104, Participant, EMT,Transition,5
10:55:08-581,-0.05029297,1.3061523,0.26513672,-0.11328125,1.4362793,0.2854004,12562,74,100104, Participant, EMT,Transition,5
10:55:08-614,0.03540039,1.1699219,0.16235352,-0.05029297,1.3061523,0.26513672,12562,74,100104, Participant, EMT,Transition,5
10:55:08-619,0.06616211,1.0825195,0.100097656,-0.05029297,1.3061523,0.26513672,12562,74,100104, Participant, EMT,Transition,5
10:55:08-630,0.061035156,0.90112305,0.003173828,0.06616211,1.0825195,0.100097656,12562,74,100104, Participant, EMT,Transition,5
10:55:08-646,0.041015625,0.7661133,-0.017333984,0.061035156,0.90112305,0.003173828,12562,74,100104, Participant, EMT,Transition,5
10:55:08-654,0.026123047,0.73339844,-0.018310547,0.041015625,0.7661133,-0.017333984,12562,74,100104, Participant, EMT,Transition,5
10:55:08-666,0.017333984,0.703125,-0.027832031,0.026123047,0.73339844,-0.018310547,12562,74,100104, Participant, EMT,Transition,5
10:55:08-694,-0.026855469,0.7475586,-0.020263672,0.017333984,0.703125,-0.027832031,12562,74,100104, Participant, EMT,Transition,5
10:55:08-702,-0.045898438,0.77075195,-0.001464844,-0.026855469,0.7475586,-0.020263672,12562,74,100104, Participant, EMT,Transition,5
10:55:08-731,-0.04638672,0.842041,0.072021484,-0.045898438,0.77075195,-0.001464844,12562,74,100104, Participant, EMT,Transition,5
10:55:08-740,-0.049560547,0.97924805,0.16845703,-0.04638672,0.842041,0.072021484,12562,74,100104, Participant, EMT,Transition,5
10:55:08-750,-0.03491211,1.0273438,0.21142578,-0.049560547,0.97924805,0.16845703,12562,74,100104, Participant, EMT,Transition,5
10:55:08-758,0.01171875,1.0415039,0.25878906,-0.03491211,1.0273438,0.21142578,12562,74,100104, Participant, EMT,Transition,5
10:55:08-783,0.031982422,1.0541992,0.2536621,0.01171875,1.0415039,0.25878906,12562,74,100104, Participant, EMT,Transition,5
10:55:08-814,0.04321289,1.0593262,0.22973633,0.031982422,1.0541992,0.2536621,12562,74,100104, Participant, EMT,Transition,5
10:55:08-826,0.064208984,1.0124512,0.15039063,0.04321289,1.0593262,0.22973633,12562,74,100104, Participant, EMT,Transition,5
10:55:08-834,0.049804688,0.9428711,0.064941406,0.064208984,1.0124512,0.15039063,12562,74,100104, Participant, EMT,Transition,5
10:55:08-842,0.03857422,0.91381836,0.031982422,0.049804688,0.9428711,0.064941406,12562,74,100104, Participant, EMT,Transition,5
10:55:08-873,0.010742188,0.8691406,0.004882813,0.03857422,0.91381836,0.031982422,12562,74,100104, Participant, EMT,Transition,5
10:55:08-887,-0.051513672,0.8647461,0.013916016,0.010742188,0.8691406,0.004882813,12562,74,100104, Participant, EMT,Transition,5
10:55:08-930,-0.06713867,0.8391113,0.017822266,-0.051513672,0.8647461,0.013916016,12562,74,100104, Participant, EMT,Transition,5
10:55:08-943,-0.10253906,0.78393555,0.037841797,-0.06713867,0.8391113,0.017822266,12562,74,100104, Participant, EMT,Transition,5
10:55:08-960,-0.14013672,0.7507324,0.0637207,-0.10253906,0.78393555,0.037841797,12562,74,100104, Participant, EMT,Transition,5
10:55:08-965,-0.15917969,0.7416992,0.072753906,-0.10253906,0.78393555,0.037841797,12562,74,100104, Participant, EMT,Transition,5
10:55:08-975,-0.19067383,0.75683594,0.09008789,-0.15917969,0.7416992,0.072753906,12562,74,100104, Participant, EMT,Transition,5
10:55:08-990,-0.21435547,0.7861328,0.0949707,-0.19067383,0.75683594,0.09008789,12562,74,100104, Participant, EMT,Transition,5
10:55:08-995,-0.2253418,0.81591797,0.09033203,-0.19067383,0.75683594,0.09008789,12562,74,100104, Participant, EMT,Transition,5
10:55:09-28,-0.23095703,0.87719727,0.042236328,-0.2253418,0.81591797,0.09033203,12562,74,100104, Participant, EMT,Transition,5
10:55:09-36,-0.21533203,0.9470215,0.001708984,-0.23095703,0.87719727,0.042236328,12562,74,100104, Participant, EMT,Transition,5
10:55:09-41,-0.21118164,0.9824219,-0.007324219,-0.23095703,0.87719727,0.042236328,12562,74,100104, Participant, EMT,Transition,5
10:55:09-51,-0.20581055,1.0725098,0.011962891,-0.21118164,0.9824219,-0.007324219,12562,74,100104, Participant, EMT,Transition,5
10:55:09-77,-0.20214844,1.1887207,0.029541016,-0.20581055,1.0725098,0.011962891,12562,74,100104, Participant, EMT,Transition,5
10:55:09-83,-0.18237305,1.2302246,0.040527344,-0.20581055,1.0725098,0.011962891,12562,74,100104, Participant, EMT,Transition,5
10:55:09-93,-0.15771484,1.2807617,0.05126953,-0.18237305,1.2302246,0.040527344,12562,74,100104, Participant, EMT,Transition,5
10:55:09-105,-0.15966797,1.3322754,0.09057617,-0.15771484,1.2807617,0.05126953,12562,74,100104, Participant, EMT,Transition,5
10:55:09-138,-0.18896484,1.4216309,0.1237793,-0.15966797,1.3322754,0.09057617,12562,74,100104, Participant, EMT,Transition,5
10:55:09-146,-0.20214844,1.6271973,0.1977539,-0.18896484,1.4216309,0.1237793,12562,74,100104, Participant, EMT,Transition,5
10:55:09-174,-0.047851563,1.5603027,0.27124023,-0.20214844,1.6271973,0.1977539,12562,74,100104, Participant, EMT,Transition,5
10:55:09-182,0.01171875,1.4929199,0.27954102,-0.047851563,1.5603027,0.27124023,12562,74,100104, Participant, EMT,Transition,5
10:55:09-191,0.09008789,1.2719727,0.21166992,0.01171875,1.4929199,0.27954102,12562,74,100104, Participant, EMT,Transition,5
10:55:09-224,0.07128906,0.9733887,0.09008789,0.09008789,1.2719727,0.21166992,12562,74,100104, Participant, EMT,Transition,5
10:55:09-233,0.033691406,0.8623047,0.057617188,0.07128906,0.9733887,0.09008789,12562,74,100104, Participant, EMT,Transition,5
10:55:09-258,-0.043945313,0.77075195,0.060302734,0.033691406,0.8623047,0.057617188,12562,74,100104, Participant, EMT,Transition,5
10:55:09-266,-0.06616211,0.8076172,0.119384766,-0.043945313,0.77075195,0.060302734,12562,74,100104, Participant, EMT,Transition,5
10:55:09-294,-0.07543945,0.84375,0.14624023,-0.06616211,0.8076172,0.119384766,12562,74,100104, Participant, EMT,Transition,5
10:55:09-320,-0.10522461,0.8664551,0.203125,-0.07543945,0.84375,0.14624023,12562,74,100104, Participant, EMT,Transition,5
10:55:09-332,-0.16772461,0.90771484,0.23291016,-0.10522461,0.8664551,0.203125,12562,72,100104, Participant, EMT,Transition,5
10:55:09-341,-0.16967773,0.9111328,0.2536621,-0.16772461,0.90771484,0.23291016,12562,72,100104, Participant, EMT,Transition,5
10:55:09-349,-0.1262207,0.9523926,0.31884766,-0.16967773,0.9111328,0.2536621,12562,72,100104, Participant, EMT,Transition,5
10:55:09-377,-0.036865234,1.0969238,0.4345703,-0.1262207,0.9523926,0.31884766,12562,72,100104, Participant, EMT,Transition,5
10:55:09-384,0.03100586,1.0859375,0.4494629,-0.036865234,1.0969238,0.4345703,12562,72,100104, Participant, EMT,Transition,5
10:55:09-389,0.1340332,0.9316406,0.40112305,0.03100586,1.0859375,0.4494629,12562,72,100104, Participant, EMT,Transition,5
10:55:09-424,0.07739258,0.84887695,0.31835938,0.1340332,0.9316406,0.40112305,12562,72,100104, Participant, EMT,Transition,5
10:55:09-430,0.056396484,0.83740234,0.28076172,0.1340332,0.9316406,0.40112305,12562,72,100104, Participant, EMT,Transition,5
