Time, Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z, GSR, HR, user, collector, role, activity, Battery 
10:52:11-27,0.020019531,0.98706055,0.53930664,0.002929688,0.9567871,0.5148926,5122,74,100109, Participant, EMT,Transition,72
10:52:11-30,0.056152344,1,0.5463867,0.020019531,0.98706055,0.53930664,5122,74,100109, Participant, EMT,Transition,72
10:52:11-32,0.08300781,1.0080566,0.54711914,0.020019531,0.98706055,0.53930664,5122,74,100109, Participant, EMT,Transition,72
10:52:11-36,0.107666016,1.0222168,0.53686523,0.08300781,1.0080566,0.54711914,5122,74,100109, Participant, EMT,Transition,72
10:52:11-92,0.11035156,1.029541,0.51464844,0.107666016,1.0222168,0.53686523,5122,74,100109, Participant, EMT,Transition,72
10:52:11-95,0.103271484,1.0361328,0.50512695,0.107666016,1.0222168,0.53686523,5122,74,100109, Participant, EMT,Transition,72
10:52:11-98,0.09448242,1.0512695,0.5029297,0.103271484,1.0361328,0.50512695,5122,74,100109, Participant, EMT,Transition,72
10:52:11-100,0.09692383,1.0522461,0.50390625,0.09448242,1.0512695,0.5029297,5122,74,100109, Participant, EMT,Transition,72
10:52:11-101,0.10620117,1.0583496,0.51000977,0.09448242,1.0512695,0.5029297,5122,74,100109, Participant, EMT,Transition,72
10:52:11-161,0.12670898,1.0566406,0.5097656,0.10620117,1.0583496,0.51000977,5122,74,100109, Participant, EMT,Transition,72
10:52:11-163,0.13085938,1.081543,0.50512695,0.12670898,1.0566406,0.5097656,5122,74,100109, Participant, EMT,Transition,72
10:52:11-165,0.12963867,1.0844727,0.49267578,0.12670898,1.0566406,0.5097656,5122,74,100109, Participant, EMT,Transition,72
10:52:11-167,0.13696289,1.0244141,0.44018555,0.12963867,1.0844727,0.49267578,5122,74,100109, Participant, EMT,Transition,72
10:52:11-229,0.14355469,0.9692383,0.36108398,0.13696289,1.0244141,0.44018555,5122,74,100109, Participant, EMT,Transition,72
10:52:11-232,0.15429688,0.9394531,0.328125,0.13696289,1.0244141,0.44018555,5122,74,100109, Participant, EMT,Transition,72
10:52:11-236,0.1430664,0.9147949,0.28222656,0.15429688,0.9394531,0.328125,5122,74,100109, Participant, EMT,Transition,72
10:52:11-295,0.13208008,0.89697266,0.24291992,0.1430664,0.9147949,0.28222656,5122,74,100109, Participant, EMT,Transition,72
10:52:11-298,0.13574219,0.88061523,0.23852539,0.1430664,0.9147949,0.28222656,5122,74,100109, Participant, EMT,Transition,72
10:52:11-300,0.13671875,0.8449707,0.24633789,0.13574219,0.88061523,0.23852539,5122,74,100109, Participant, EMT,Transition,72
10:52:11-304,0.14868164,0.842041,0.2631836,0.13671875,0.8449707,0.24633789,5122,74,100109, Participant, EMT,Transition,72
10:52:11-307,0.15429688,0.8486328,0.25830078,0.14868164,0.842041,0.2631836,5122,74,100109, Participant, EMT,Transition,72
10:52:11-310,0.17895508,0.8737793,0.24902344,0.15429688,0.8486328,0.25830078,5122,74,100109, Participant, EMT,Transition,72
10:52:11-365,0.17919922,0.904541,0.2409668,0.17895508,0.8737793,0.24902344,5122,74,100109, Participant, EMT,Transition,72
10:52:11-367,0.17993164,0.88671875,0.23852539,0.17919922,0.904541,0.2409668,5122,74,100109, Participant, EMT,Transition,72
10:52:11-369,0.15844727,0.8833008,0.2265625,0.17993164,0.88671875,0.23852539,5122,74,100109, Participant, EMT,Transition,72
10:52:11-375,0.14770508,0.86083984,0.1899414,0.15844727,0.8833008,0.2265625,5122,74,100109, Participant, EMT,Transition,72
10:52:11-432,0.140625,0.845459,0.17016602,0.14770508,0.86083984,0.1899414,5122,74,100109, Participant, EMT,Transition,72
10:52:11-436,0.119628906,0.82128906,0.12158203,0.140625,0.845459,0.17016602,5122,74,100109, Participant, EMT,Transition,72
10:52:11-464,0.096191406,0.8046875,0.09106445,0.119628906,0.82128906,0.12158203,5122,74,100109, Participant, EMT,Transition,72
10:52:11-468,0.07470703,0.7937012,0.08911133,0.096191406,0.8046875,0.09106445,5122,74,100109, Participant, EMT,Transition,72
10:52:11-500,0.025146484,0.7998047,0.09472656,0.07470703,0.7937012,0.08911133,5122,74,100109, Participant, EMT,Transition,72
10:52:11-503,-0.013916016,0.79907227,0.09033203,0.025146484,0.7998047,0.09472656,5122,74,100109, Participant, EMT,Transition,72
10:52:11-507,-0.025390625,0.8041992,0.08569336,-0.013916016,0.79907227,0.09033203,5122,74,100109, Participant, EMT,Transition,72
10:52:11-509,-0.05053711,0.81469727,0.07299805,-0.025390625,0.8041992,0.08569336,5122,74,100109, Participant, EMT,Transition,72
10:52:11-569,-0.08227539,0.84350586,0.0859375,-0.05053711,0.81469727,0.07299805,5122,74,100109, Participant, EMT,Transition,72
10:52:11-571,-0.09301758,0.859375,0.08544922,-0.08227539,0.84350586,0.0859375,5122,74,100109, Participant, EMT,Transition,72
10:52:11-572,-0.100097656,0.88671875,0.09326172,-0.09301758,0.859375,0.08544922,5122,74,100109, Participant, EMT,Transition,72
10:52:11-574,-0.10253906,0.9367676,0.12084961,-0.100097656,0.88671875,0.09326172,5122,74,100109, Participant, EMT,Transition,72
