Shoulder Radio,Shoulder Radio Start,Shoulder Radio End,Shoulder Radio Delta,Flashlight,Flashlight Start,Flashlight End,Flashlight Delta,Whistle,Whistle Start,Whistle End,Whistle Delta,Take BP,Take BP Start,Take BP End,Take BP Delta,Location Sent,Vitals Sent,Distance Magnitude,Walking,App Usage Count,User,Anomaly
1,37681251,  37687907,6.656,1,37690464,  37695592,5.128,1,37694577,  37699683,5.106,0,0,0,0,0,0,1.28402204015,0,0,    100102,Normal
1,37704823,  37710418,5.595,1,37713500,  37718164,4.664,1,37717093,  37723220,6.127,0,0,0,0,0,0,0.6719786141,0,0,    100102,Normal
1,37739623,  37747310,7.687,1,37748325,  37755557,7.232,1,37759587,  37764208,4.621,1,37781618,  37783129,1.511,0,0,0.440176979251,0,0,    100102,Normal
1,37788789,  37798507,9.718,1,37797476,  37802584,5.108,1,37804665,  37808746,4.081,0,0,0,0,0,0,2.37114944468,0,0,    100102,Normal
1,37813367,  37820505,7.138,1,37820538,  37830243,9.705,1,37830245,  37833299,3.054,0,0,0,0,0,0,0.211261600222,0,0,    100102,Normal
1,37842536,  37847663,5.127,1,37847146,  37854301,7.155,1,37855406,  37859417,4.011,0,0,0,0,0,0,1.73388664094,0,0,    100102,Normal
1,37873796,  37884016,10.22,1,37882995,  37891173,8.178,1,37890147,  37893720,3.573,0,0,0,0,0,0,0.35577581605,0,0,    100102,Normal
1,37897329,  37905499,8.17,1,37905017,  37911663,6.646,1,37912703,  37917277,4.574,0,0,0,0,0,0,0.0560749351828,0,0,    100102,Normal
1,37934706,  37938290,3.584,1,37940414,  37944413,3.999,1,37944444,  37948003,3.559,0,0,0,0,0,0,2.7589018077,0,0,    100102,Normal
1,37959281,  37965931,6.65,1,37964918,  37967470,2.552,1,37967975,  37973089,5.114,0,0,0,0,0,0,0.539550601695,0,0,    100102,Normal
1,37983861,  37987421,3.56,1,38009966,  38012021,2.055,1,37998205,  38003305,5.1,0,0,0,0,0,0,1.57957150791,0,0,    100102,Normal
0,0,0,0,0,0,0,0,0,0,0,0,1,38036591,  38038133,1.542,0,0,2.47265436104,0,0,    100102,Normal
1,40087071,  40093704,6.633,1,40096750,  40100835,4.085,1,40100842,  40103879,3.037,0,0,0,0,0,0,2.75353378536,0,0,    100102,Normal
1,40111001,  40119595,8.594,1,40120214,  40125627,5.413,1,40124345,  40127303,2.958,0,0,0,0,1,0,2.70040958075,0,1,    100102,Normal
1,40159038,  40168101,9.063,1,40170171,  40175789,5.618,1,40175233,  40178299,3.066,0,0,0,0,0,0,2.60379353559,0,0,    100102,Normal
1,40183626,  40189702,6.076,1,40189706,  40192733,3.027,1,40193499,  40196929,3.43,0,0,0,0,1,0,2.66044006073,0,1,    100102,Normal
1,40202291,  40208254,5.963,1,40216609,  40219168,2.559,0,0,0,0,1,40219605,  40245983,26.378,0,0,1.62634977315,0,0,    100102,Normal
1,37427315,  37433579,6.264,1,37448607,  37453504,4.897,1,37453510,  37459537,6.027,0,0,0,0,0,0,2.42349010531,0,0,    100103,Normal
0,0,0,0,1,37489570,  37493672,4.102,1,37493156,  37498459,5.303,0,0,0,0,0,0,1.17980324226,0,0,    100103,Normal
1,37509324,  37513348,4.024,1,37514383,  37517605,3.222,1,37518630,  37522427,3.797,0,0,0,0,0,0,1.54628527145,0,0,    100103,Normal
1,37530813,  37534476,3.663,1,37535538,  37542337,6.799,1,37546519,  37550660,4.141,0,0,0,0,0,0,2.84185688689,0,0,    100103,Normal
1,37560048,  37560617,0.569,1,37561669,  37566385,4.716,1,37567415,  37570535,3.12,0,0,0,0,1,0,2.8383552947,0,1,    100103,Normal
1,37583185, 37585226,2.041,1,37585228,  37590422,5.194,0,0,0,0,0,0,0,0,1,0,0.919742439264,0,2,    100103,Normal
1,37601927, 37605447,3.52,1,37605449,  37608702,3.253,1,37607679,  37610284,2.605,0,0,0,0,1,0,0.437719652701,0,1,    100103,Normal
1,37619700, 37624174,4.474,1,37624176,  37628564,4.388,1,37627523,  37632231,4.708,0,0,0,0,1,0,2.22191767882,0,1,    100103,Normal
1,37640609, 37643826,3.217,1,37643828,  37648434,4.606,1,37647405,  37651584,4.179,0,0,0,0,1,0,2.41724968312,0,1,    100103,Normal
1,37663615, 37666956,3.341,1,37666958,  37670401,3.443,1,37669382,  37673536,4.154,0,0,0,0,1,0,0.254673266833,0,1,    100103,Normal
1,37686087,  37689738,3.651,1,37690279,  37693935,3.656,1,37692906,  37696008,3.102,0,0,0,0,0,0,2.59747530802,0,0,    100103,Normal
1,37702827,  37706465,3.638,1,37706518,  37709599,3.081,1,37709609,  37712739,3.13,0,0,0,0,1,0,0.506208031174,0,1,    100103,Normal
1,37720583, 37724085,3.502,1,37724087,  37726875,2.788,1,37726881,  37729975,3.094,0,0,0,0,1,0,1.46756942013,0,1,    100103,Normal
1,37738364,  37742051,3.687,1,37742545,  37746733,4.188,1,37745703,  37749335,3.632,0,0,0,0,0,0,2.22018298547,0,0,    100103,Normal
1,37758227,  37761891,3.664,1,37762667,  37766578,3.911,1,37765562,  37769723,4.161,0,0,0,0,1,0,1.22953149715,0,1,    100103,Normal
1,37776542, 37780629,4.087,1,37780631,  37785442,4.811,1,37784380,  37788035,3.655,0,0,0,0,1,0,0.945920049179,0,1,    100103,Normal
1,37797451,  37800593,3.142,1,37801118,  37805263,4.145,1,37804260,  37807360,3.1,0,0,0,0,0,0,2.62166663902,0,0,    100103,Normal
1,37818349, 37822376,4.027,1,37822378,  37826707,4.329,1,37825679,  37830365,4.686,0,0,0,0,1,0,1.88577563841,0,1,    100103,Normal
1,37839264,  37843444,4.18,1,37843488,  37847632,4.144,1,37846608,  37850769,4.161,0,0,0,0,1,0,0.941011051048,0,1,    100103,Normal
0,0,0,0,0,0,0,0,1,37871146,  37873739,2.593,1,37903573,  37940670,37.097,0,0,2.5398941726,0,0,    100103,Normal
1,39311292,  39314340,3.048,1,39315158,  39318967,3.809,1,39318974,  39322037,3.063,0,0,0,0,1,0,0.18778109465,0,1,    100103,Normal
1,39330241,  39333800,3.559,1,39335366,  39338926,3.56,1,39337911,  39340963,3.052,0,0,0,0,0,0,0.217580000272,0,0,    100103,Normal
1,39347650,  39351719,4.069,1,39352253,  39356850,4.597,1,39356372,  39358375,2.003,0,0,0,0,0,0,1.93920019498,0,0,    100103,Normal
1,39436733, 39439044,2.311,1,39439046,  39446484,7.438,0,0,0,0,0,0,0,0,1,0,1.45574573917,0,1,    100103,Normal
1,39573864,  39574548,0.684,1,39574553,  39578040,3.487,1,39577643,  39580645,3.002,0,0,0,0,1,0,0.103605323156,0,1,    100103,Normal
1,39592385, 39595356,2.971,1,39595358,  39600073,4.715,1,39599044,  39602660,3.616,0,0,0,0,1,0,0.692899642744,0,1,    100103,Normal
1,39616996,  39617968,0.972,1,39618498,  39622095,3.597,1,39621058,  39623118,2.06,0,0,0,0,1,0,2.501712253,0,1,    100103,Normal
1,39634874,  39635387,0.513,1,39635915,  39639467,3.552,1,39639488,  39642050,2.562,0,0,0,0,1,0,2.58407746331,0,1,    100103,Normal
1,39685567, 39688530,2.963,1,39688532,  39693758,5.226,1,39692738,  39695804,3.066,0,0,0,0,1,0,2.88592547853,0,1,    100103,Normal
1,39715275,  39719350,4.075,0,0,0,0,0,0,0,0,1,39795908,  39797190,1.282,0,1,2.80096203537,0,1,    100103,Normal
1,37428372,  37434633,6.261,1,37445640,  37453517,7.877,1,37453520,  37459259,5.739,0,0,0,0,0,0,2.5054242373,0,0,    100104,Normal
1,37475489,  37481782,6.293,1,37482321,  37492241,9.92,1,37492272,  37498516,6.244,0,0,0,0,0,0,1.12289939086,0,0,    100104,Normal
1,37508490,  37513748,5.258,1,37514263,  37519483,5.22,1,37518441,  37522103,3.662,0,0,0,0,0,0,2.23597820402,0,0,    100104,Normal
1,37529974,  37534673,4.699,1,37535797,  37545214,9.417,1,37544640,  37547764,3.124,0,0,0,0,0,0,2.55540078528,0,0,    100104,Normal
1,37556691,  37560344,3.653,1,37561392,  37566622,5.23,1,37566626,  37570270,3.644,0,0,0,0,0,0,1.923974988,0,0,    100104,Normal
1,37581296,  37585477,4.181,1,37585479,  37590703,5.224,1,37589682,  37594908,5.226,0,0,0,0,0,0,2.56414247844,0,0,    100104,Normal
1,37602242,  37605384,3.142,1,37605386,  37610675,5.289,1,37609575,  37613804,4.229,0,0,0,0,0,0,2.05401692771,0,0,    100104,Normal
1,37619537,  37624737,5.2,1,37624243,  37628960,4.717,1,37627909,  37632079,4.17,0,0,0,0,0,0,1.05985670333,0,0,    100104,Normal
1,37640469,  37644114,3.645,1,37643097,  37648309,5.212,1,37647288,  37651467,4.179,0,0,0,0,0,0,2.5059636546,0,0,    100104,Normal
1,37663514,  37667159,3.645,1,37667168,  37671881,4.713,1,37670860,  37674495,3.635,0,0,0,0,0,0,2.86140922565,0,0,    100104,Normal
1,37686044,  37689702,3.658,1,37690746,  37694401,3.655,1,37693878,  37697023,3.145,0,0,0,0,0,0,1.37529038189,0,0,    100104,Normal
1,37702800,  37706438,3.638,1,37706468,  37710628,4.16,1,37710661,  37713246,2.585,0,0,0,0,0,0,0.945974832149,0,0,    100104,Normal
1,37720601,  37724263,3.662,1,37724266,  37728446,4.18,1,37727422,  37730540,3.118,0,0,0,0,0,0,0.240643782458,0,0,    100104,Normal
1,37738393,  37742049,3.656,1,37742606,  37746787,4.181,1,37745723,  37749385,3.662,0,0,0,0,0,0,2.20272282678,0,0,    100104,Normal
1,37758301,  37761964,3.663,1,37762495,  37766727,4.232,1,37765653,  37769290,3.637,0,0,0,0,0,0,2.63449077569,0,0,    100104,Normal
1,37776621,  37780282,3.661,1,37780288,  37785542,5.254,1,37784490,  37788148,3.658,0,0,0,0,0,0,1.01791826477,0,0,    100104,Normal
1,37797588,  37800717,3.129,1,37801264,  37805428,4.164,1,37804381,  37807536,3.155,0,0,0,0,0,0,2.38471645869,0,0,    100104,Normal
1,37818014,  37822694,4.68,1,37822764,  37826357,3.593,1,37825350,  37830568,5.218,0,0,0,0,0,0,0.357260849545,0,0,    100104,Normal
1,37839473,  37843646,4.173,1,37843657,  37847327,3.67,1,37846280,  37850447,4.167,0,0,0,0,0,0,1.67351085733,0,0,    100104,Normal
0,0,0,0,0,0,0,0,1,37870904,  37875074,4.17,1,37903375,  37940547,37.172,0,0,0.472125871634,0,0,    100104,Normal
1,39310566,  39314659,4.093,1,39315719,  39319284,3.565,1,39319292,  39322890,3.598,0,0,0,0,0,0,0.191811019308,0,0,    100104,Normal
1,39331618,  39334690,3.072,1,39335217,  39339322,4.105,1,39338291,  39341351,3.06,0,0,0,0,0,0,2.22959539591,0,0,    100104,Normal
1,39347546,  39351640,4.094,1,39352667,  39356775,4.108,1,39355747,  39358806,3.059,0,0,0,0,0,0,2.85231309729,0,0,    100104,Normal
1,39439235,  39439946,0.711,1,39439954,  39444568,4.614,1,39443545,  39446598,3.053,0,0,0,0,1,0,2.42254198495,0,1,    100104,Normal
0,0,0,0,1,38615906,  38620060,4.154,1,38608070,  38612700,4.63,0,0,0,0,0,0,0.961650681873,0,0,    100105,Normal
0,0,0,0,0,0,0,0,1,38765895,  38767971,2.076,1,38789429,  38820251,30.822,0,0,0.815223887197,0,0,    100105,Normal
0,0,0,0,1,40077737,  40082931,5.194,1,40070438,  40075579,5.141,0,0,0,0,0,0,0.542645788359,0,0,    100105,Normal
0,0,0,0,1,40116920,  40122638,5.718,1,40113760,  40117947,4.187,0,0,0,0,0,0,1.36025107249,0,0,    100105,Normal
0,0,0,0,1,40226169,  40230852,4.683,1,40221463,  40227210,5.747,0,0,0,0,0,0,0.374588779137,0,0,    100105,Normal
0,0,0,0,0,0,0,0,0,0,0,0,1,40286278,  40300380,14.102,0,0,1.25182641705,0,0,    100105,Normal
0,0,0,0,1,38614850,  38625299,10.449,1,38610137,  38613258,3.121,0,0,0,0,0,0,1.92680376449,0,0,    100106,Normal
0,0,0,0,0,0,0,0,1,38737907,  38741571,3.664,0,0,0,0,0,0,1.71144837276,0,0,    100106,Normal
0,0,0,0,1,40082729,  40086884,4.155,1,40071200,  40074862,3.662,0,0,0,0,0,0,2.465185933,0,0,    100106,Normal
0,0,0,0,1,40118337, 40122521,4.184,1,40111548,  40117281,5.733,0,0,0,0,1,0,1.86004554722,0,1,    100106,Normal
0,0,0,0,1,40225230,  40229876,4.646,1,40220988,  40226215,5.227,0,0,0,0,0,0,1.83946659088,0,0,    100106,Normal
0,0,0,0,1,40280700,  40283303,2.603,0,0,0,0,0,0,0,0,0,0,0.888784042394,0,0,    100106,Normal
1,38518068,  38522695,4.627,1,38524766,  38530420,5.654,1,38530915,  38535520,4.605,0,0,0,0,0,0,1.44952027333,0,0,    100107,Normal
1,38549376, 38553337,3.961,1,38553339,  38559647,6.308,1,38558650,  38564263,5.613,0,0,0,0,1,0,0.943868499692,0,1,    100107,Normal
1,38573532,  38579161,5.629,1,38580703,  38586435,5.732,1,38586441,  38591974,5.533,0,0,0,0,0,0,1.97779655641,0,0,    100107,Normal
1,38597645,  38602271,4.626,1,38609462,  38615085,5.623,1,38614081,  38620223,6.142,0,0,0,0,0,0,1.13438447539,0,0,    100107,Normal
1,38629504,  38633578,4.074,1,38637700,  38642306,4.606,1,38642332,  38647437,5.105,0,0,0,0,0,0,1.54151838507,0,0,    100107,Normal
1,38655683,  38659261,3.578,1,38662371,  38668495,6.124,1,38668520,  38672591,4.071,0,0,0,0,0,0,0.462101207991,0,0,    100107,Normal
1,38675693,  38680301,4.608,1,38682899,  38691604,8.705,0,0,0,0,0,0,0,0,0,0,2.24937246936,0,0,    100107,Normal
1,38703411,  38710585,7.174,1,38713707,  38719330,5.623,1,38718310,  38722402,4.092,0,0,0,0,0,0,2.10729025027,0,0,    100107,Normal
1,38728578, 38735289,6.711,1,38735291,  38742420,7.129,1,38743480,  38746541,3.061,0,0,0,0,1,0,1.29675067948,0,1,    100107,Normal
1,38751696,  38756300,4.604,1,38757311,  38765554,8.243,1,38765563,  38772208,6.645,0,0,0,0,0,0,0.74081918447,0,0,    100107,Normal
1,38784823,  38785558,0.735,1,38785564,  38795306,9.742,1,38794316,  38798387,4.071,0,0,0,0,1,0,0.340162810658,0,1,    100107,Normal
1,38802503,  38807624,5.121,1,38808682,  38815323,6.641,1,38816385,  38820452,4.067,0,0,0,0,0,0,2.61569238069,0,0,    100107,Normal
1,38825620, 38829601,3.981,1,38829603,  38842526,12.923,1,38841544,  38844605,3.061,0,0,0,0,1,0,2.03957319488,0,1,    100107,Normal
1,38906747, 38910972,4.225,1,38910974,  38916472,5.498,1,38915472,  38918546,3.074,0,0,0,0,1,0,1.77010084031,0,1,    100107,Normal
1,38927277,  38931379,4.102,1,38931824,  38937535,5.711,0,0,0,0,0,0,0,0,1,0,1.7790625721,0,1,    100107,Normal
1,40541803,  40543231,1.428,1,40543234,  40546882,3.648,1,40545855,  40548986,3.131,1,38983243,  39023273,40.03,1,0,2.18362321566,0,1,    100107,Normal
1,40555682,  40558398,2.716,1,40557387,  40562146,4.759,0,0,0,0,0,0,0,0,1,0,1.97088850854,0,1,    100107,Normal
1,40569412,  40570977,1.565,1,40569950,  40576230,6.28,0,0,0,0,0,0,0,0,1,0,1.48704605025,0,1,    100107,Normal
1,40582263,  40583017,0.754,1,40582009,  40586710,4.701,1,40585667,  40588777,3.11,0,0,0,0,1,0,1.71212168383,0,1,    100107,Normal
1,40593299,  40595061,1.762,1,40595090,  40600306,5.216,1,40599269,  40602408,3.139,0,0,0,0,1,0,2.02113399717,0,1,    100107,Normal
1,40608682,  40611835,3.153,1,40610806,  40618632,7.826,1,40618662,  40621298,2.636,0,0,0,0,1,0,1.71676306418,0,1,    100107,Normal
1,40627953,  40629640,1.687,1,40629643,  40633885,4.242,1,40632793,  40635392,2.599,0,0,0,0,1,0,0.296916719046,0,1,    100107,Normal
1,40640885,  40641733,0.848,1,40641738,  40649026,7.288,1,40647996,  40651622,3.626,0,0,0,0,1,0,0.569310746577,0,1,    100107,Normal
1,40661027,  40663157,2.13,1,40662127,  40666310,4.183,1,40665275,  40668904,3.629,0,0,0,0,1,0,1.8786567022,0,1,    100107,Normal
1,40672361,  40674159,1.798,1,40673131,  40676772,3.641,1,40675746,  40679379,3.633,0,0,0,0,1,0,2.27054337433,0,1,    100107,Normal
1,40684680,  40686724,2.044,1,40685685,  40689334,3.649,1,40688294,  40691445,3.151,0,0,0,0,1,0,1.85461914325,0,1,    100107,Normal
1,40695774,  40697733,1.959,1,40696690,  40701899,5.209,1,40700872,  40704006,3.134,0,0,0,0,1,0,0.258942059208,0,1,    100107,Normal
1,40747983,  40748529,0.546,1,40747480,  40752175,4.695,1,40751144,  40755310,4.166,0,0,0,0,1,0,1.78966751601,0,1,    100107,Normal
1,40762719,  40764735,2.016,1,40763727,  40768420,4.693,1,40767393,  40770535,3.142,0,0,0,0,1,0,0.626256114731,0,1,    100107,Normal
1,40778605,  40780534,1.929,1,40779455,  40783653,4.198,1,40782580,  40785168,2.588,0,0,0,0,1,0,0.178588941577,0,1,    100107,Normal
1,40794611,  40795647,1.036,1,40794636,  40799851,5.215,1,40798807,  40803001,4.194,0,0,0,0,1,0,1.72613745205,0,1,    100107,Normal
